model,seed,week,factors_stressed_true,factors_named,week_cost,stockout
anthropic-claude-sonnet-5,1,1,,demand,132,0
anthropic-claude-sonnet-5,1,2,,supplier,82,0
anthropic-claude-sonnet-5,1,3,,,495,0
anthropic-claude-sonnet-5,1,4,,demand,99,0
anthropic-claude-sonnet-5,1,5,,disruption;supplier,640,0
anthropic-claude-sonnet-5,1,6,,demand;disruption,210,0
anthropic-claude-sonnet-5,1,7,,disruption;freight,165,0
anthropic-claude-sonnet-5,1,8,,freight,501,0
anthropic-claude-sonnet-5,1,9,demand,demand,74,0
anthropic-claude-sonnet-5,1,10,demand,demand;freight,462,0
anthropic-claude-sonnet-5,1,11,demand,demand,136,0
anthropic-claude-sonnet-5,1,12,demand,freight,456,0
anthropic-claude-sonnet-5,1,13,,demand,110,0
anthropic-claude-sonnet-5,1,14,,,73,0
anthropic-claude-sonnet-5,1,15,,demand;freight,99,0
anthropic-claude-sonnet-5,1,16,,freight;port,90,0
anthropic-claude-sonnet-5,1,17,port,demand;disruption;port,373,0
anthropic-claude-sonnet-5,1,18,disruption;port,demand;disruption;freight;port,92,0
anthropic-claude-sonnet-5,1,19,freight;port,freight;port,680,0
anthropic-claude-sonnet-5,1,20,demand;port,demand;port;supplier,132,0
anthropic-claude-sonnet-5,1,21,demand;port,supplier,660,1
anthropic-claude-sonnet-5,1,22,demand;port,port,823,1
anthropic-claude-sonnet-5,1,23,demand;port,port,694,1
anthropic-claude-sonnet-5,1,24,demand;port,disruption;port,776,1
anthropic-claude-sonnet-5,1,25,demand,demand,407,0
anthropic-claude-sonnet-5,1,26,demand,,77,0
anthropic-claude-sonnet-5,21,1,,demand,125,0
anthropic-claude-sonnet-5,21,2,,freight;port,128,0
anthropic-claude-sonnet-5,21,3,,demand,123,0
anthropic-claude-sonnet-5,21,4,,,433,0
anthropic-claude-sonnet-5,21,5,,,115,0
anthropic-claude-sonnet-5,21,6,,quality,118,0
anthropic-claude-sonnet-5,21,7,,supplier,108,0
anthropic-claude-sonnet-5,21,8,,demand,118,0
anthropic-claude-sonnet-5,21,9,,demand,91,0
anthropic-claude-sonnet-5,21,10,demand,demand;quality;supplier,99,0
anthropic-claude-sonnet-5,21,11,demand;port,demand;port,477,1
anthropic-claude-sonnet-5,21,12,demand,demand,476,0
anthropic-claude-sonnet-5,21,13,demand,freight;quality,161,0
anthropic-claude-sonnet-5,21,14,demand,port,196,0
anthropic-claude-sonnet-5,21,15,demand,demand,128,0
anthropic-claude-sonnet-5,21,16,demand,demand;quality,488,0
anthropic-claude-sonnet-5,21,17,demand,quality;supplier,161,0
anthropic-claude-sonnet-5,21,18,,demand,224,0
anthropic-claude-sonnet-5,21,19,,supplier,139,0
anthropic-claude-sonnet-5,21,20,,disruption;quality,231,0
anthropic-claude-sonnet-5,21,21,disruption,disruption;freight;port;supplier,182,0
anthropic-claude-sonnet-5,21,22,disruption;quality,disruption;freight,248,0
anthropic-claude-sonnet-5,21,23,disruption;quality;supplier,disruption;freight;quality,341,0
anthropic-claude-sonnet-5,21,24,disruption;quality,,521,0
anthropic-claude-sonnet-5,21,25,disruption,,101,0
anthropic-claude-sonnet-5,21,26,disruption,,82,0
anthropic-claude-sonnet-5,24,1,,demand,116,0
anthropic-claude-sonnet-5,24,2,,port,130,0
anthropic-claude-sonnet-5,24,3,,,110,0
anthropic-claude-sonnet-5,24,4,,,128,0
anthropic-claude-sonnet-5,24,5,,supplier,103,0
