scope,quantity,n,mean,ci_lo,ci_hi,p,p_holm
gpt-5.4/DIAG,procurement $/wk,502,61.208,48.663,74.61,,
gpt-5.4/DIAG,holding_total $/wk,502,98.282,92.751,103.729,,
gpt-5.4/DIAG,stockout_total $/wk,502,19.607,10.754,30.756,,
gpt-5.4/DIAG,levers $/wk,502,91.041,75.808,106.564,,
gpt-5.4/DIAG,incident $/wk,502,30.356,21.185,40.282,,
gpt-5.4/DIAG,total $/wk,502,300.493,272.823,328.448,,
gpt-5.4/UNDIAG,procurement $/wk,137,65.671,43.418,90.273,,
gpt-5.4/UNDIAG,holding_total $/wk,137,106.703,98.523,115.146,,
gpt-5.4/UNDIAG,stockout_total $/wk,137,5.345,0.429,12.912,,
gpt-5.4/UNDIAG,levers $/wk,137,57.62,32.026,86.079,,
gpt-5.4/UNDIAG,incident $/wk,137,2.262,0.526,4.487,,
gpt-5.4/UNDIAG,total $/wk,137,237.602,204.336,272.314,,
gpt-5.4/CALM,procurement $/wk,623,54.595,48.885,60.52,,
gpt-5.4/CALM,holding_total $/wk,623,110.764,104.864,116.91,,
gpt-5.4/CALM,stockout_total $/wk,623,10.389,3.6,19.207,,
gpt-5.4/CALM,levers $/wk,623,27.9,20.395,36.048,,
gpt-5.4/CALM,incident $/wk,623,0.572,0.269,0.917,,
gpt-5.4/CALM,total $/wk,623,204.22,193.629,215.532,,
claude-sonnet-5/DIAG,procurement $/wk,515,69.893,61.202,79.202,,
claude-sonnet-5/DIAG,holding_total $/wk,515,84.602,81.154,87.977,,
claude-sonnet-5/DIAG,stockout_total $/wk,515,31.991,22.999,42.242,,
claude-sonnet-5/DIAG,levers $/wk,515,125.576,109.69,142.272,,
claude-sonnet-5/DIAG,incident $/wk,515,29.364,21.198,38.022,,
claude-sonnet-5/DIAG,total $/wk,515,341.426,317.754,365.309,,
claude-sonnet-5/UNDIAG,procurement $/wk,124,69.497,53.518,86.433,,
claude-sonnet-5/UNDIAG,holding_total $/wk,124,91.44,85.115,97.918,,
claude-sonnet-5/UNDIAG,stockout_total $/wk,124,13.855,4.07,26.794,,
claude-sonnet-5/UNDIAG,levers $/wk,124,158.677,124.522,193.222,,
claude-sonnet-5/UNDIAG,incident $/wk,124,18.959,7.117,33.366,,
claude-sonnet-5/UNDIAG,total $/wk,124,352.429,301.709,403.961,,
claude-sonnet-5/CALM,procurement $/wk,623,47.032,42.102,52.246,,
claude-sonnet-5/CALM,holding_total $/wk,623,83.021,80.587,85.472,,
claude-sonnet-5/CALM,stockout_total $/wk,623,10.257,5.27,16.387,,
claude-sonnet-5/CALM,levers $/wk,623,38.602,29.902,48.01,,
claude-sonnet-5/CALM,incident $/wk,623,0.358,0.152,0.602,,
claude-sonnet-5/CALM,total $/wk,623,179.27,166.193,193.335,,
grok-4.5/DIAG,procurement $/wk,544,86.513,77.128,96.476,,
grok-4.5/DIAG,holding_total $/wk,544,120.471,112.868,128.468,,
grok-4.5/DIAG,stockout_total $/wk,544,36.51,23.631,52.292,,
grok-4.5/DIAG,levers $/wk,544,81.155,66.427,96.009,,
grok-4.5/DIAG,incident $/wk,544,40.409,28.676,53.238,,
grok-4.5/DIAG,total $/wk,544,365.059,333.132,398.232,,
grok-4.5/UNDIAG,procurement $/wk,95,63.01,46.624,81.264,,
grok-4.5/UNDIAG,holding_total $/wk,95,123.808,113.9,134.233,,
grok-4.5/UNDIAG,stockout_total $/wk,95,2.564,0.488,5.5,,
grok-4.5/UNDIAG,levers $/wk,95,85.01,52.353,120.284,,
grok-4.5/UNDIAG,incident $/wk,95,6.03,0.473,14.965,,
grok-4.5/UNDIAG,total $/wk,95,280.422,237.252,329.898,,
grok-4.5/CALM,procurement $/wk,623,59.605,53.056,66.285,,
grok-4.5/CALM,holding_total $/wk,623,115.35,109.031,121.984,,
grok-4.5/CALM,stockout_total $/wk,623,12.89,6.154,21.062,,
grok-4.5/CALM,levers $/wk,623,19.699,14.767,24.733,,
grok-4.5/CALM,incident $/wk,623,0.482,0.199,0.826,,
grok-4.5/CALM,total $/wk,623,208.026,195.691,221.537,,
deepseek-v4-pro/DIAG,procurement $/wk,469,97.617,83.051,114.204,,
deepseek-v4-pro/DIAG,holding_total $/wk,469,133.098,121.312,145.457,,
deepseek-v4-pro/DIAG,stockout_total $/wk,469,37.058,26.526,48.288,,
deepseek-v4-pro/DIAG,levers $/wk,469,66.719,51.186,82.728,,
deepseek-v4-pro/DIAG,incident $/wk,469,45.07,31.693,59.929,,
deepseek-v4-pro/DIAG,total $/wk,469,379.563,343.017,420.92,,
deepseek-v4-pro/UNDIAG,procurement $/wk,170,61.339,44.787,79.577,,
deepseek-v4-pro/UNDIAG,holding_total $/wk,170,133.024,120.207,146.572,,
deepseek-v4-pro/UNDIAG,stockout_total $/wk,170,4.83,0.523,10.457,,
deepseek-v4-pro/UNDIAG,levers $/wk,170,64.528,41.969,89.312,,
deepseek-v4-pro/UNDIAG,incident $/wk,170,12.733,5.091,21.76,,
deepseek-v4-pro/UNDIAG,total $/wk,170,276.453,238.96,315.148,,
deepseek-v4-pro/CALM,procurement $/wk,623,63.011,55.532,70.561,,
deepseek-v4-pro/CALM,holding_total $/wk,623,129.493,117.927,141.643,,
deepseek-v4-pro/CALM,stockout_total $/wk,623,11.23,5.019,18.91,,
deepseek-v4-pro/CALM,levers $/wk,623,24.96,17.346,33.548,,
deepseek-v4-pro/CALM,incident $/wk,623,0.475,0.197,0.806,,
deepseek-v4-pro/CALM,total $/wk,623,229.168,215.145,244.024,,
gpt-5.4/DIAG,air $/wk,502,85.724,70.159,101.701,,
gpt-5.4/DIAG,inspect $/wk,502,1.03,0.448,1.76,,
gpt-5.4/DIAG,briefing $/wk,502,0.887,0.415,1.426,,
gpt-5.4/DIAG,audit $/wk,502,1.54,0.834,2.433,,
gpt-5.4/DIAG,dual_source $/wk,502,1.859,1.46,2.262,,
claude-sonnet-5/DIAG,air $/wk,515,116.355,100.408,132.914,,
claude-sonnet-5/DIAG,inspect $/wk,515,2.443,1.405,3.655,,
claude-sonnet-5/DIAG,briefing $/wk,515,2.122,1.476,2.788,,
claude-sonnet-5/DIAG,audit $/wk,515,2.137,1.631,2.649,,
claude-sonnet-5/DIAG,dual_source $/wk,515,2.52,2.107,2.905,,
