model,seed,week,shipping,surcharge,holding,in_transit,stockout,couple,demurrage,rework,briefing,audit,air,inspect,dual_source,total
openai-gpt-5.4,0,1,109.18,0.0,59.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,248.18
openai-gpt-5.4,0,2,0.0,0.0,41.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0
openai-gpt-5.4,0,3,0.0,0.0,19.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0
openai-gpt-5.4,0,4,0.0,0.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0
openai-gpt-5.4,0,5,253.02,0.0,50.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,383.02
openai-gpt-5.4,0,6,0.0,0.0,30.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0
openai-gpt-5.4,0,7,0.0,0.0,6.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0
openai-gpt-5.4,0,8,0.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0
openai-gpt-5.4,0,9,147.6,0.0,42.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,264.6
openai-gpt-5.4,0,10,0.0,0.0,19.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0
openai-gpt-5.4,0,11,0.0,0.0,2.0,75.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,102.0
openai-gpt-5.4,0,12,206.05,0.0,60.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,336.05
openai-gpt-5.4,0,13,0.0,0.0,32.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.0
openai-gpt-5.4,0,14,108.9,0.0,11.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,263.9
openai-gpt-5.4,0,15,0.0,0.0,54.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0
openai-gpt-5.4,0,16,85.79,0.0,28.0,154.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,267.79
openai-gpt-5.4,0,17,0.0,0.0,75.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155.0
openai-gpt-5.4,0,18,0.0,0.0,55.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0
openai-gpt-5.4,0,19,0.0,0.0,119.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.0
openai-gpt-5.4,0,20,0.0,0.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0
openai-gpt-5.4,0,21,0.0,0.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0
openai-gpt-5.4,0,22,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0
openai-gpt-5.4,0,23,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0
openai-gpt-5.4,0,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,300.0
openai-gpt-5.4,0,25,0.0,0.0,0.0,0.0,220.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,520.0
openai-gpt-5.4,0,26,0.0,0.0,0.0,0.0,360.0,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,660.0
openai-gpt-5.4,1,1,145.34,0.0,64.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,269.34
openai-gpt-5.4,1,2,0.0,0.0,43.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.0
openai-gpt-5.4,1,3,57.6,0.0,20.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,197.6
openai-gpt-5.4,1,4,0.0,0.0,58.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.0
openai-gpt-5.4,1,5,4.68,0.0,49.0,92.0,0.0,1680.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1825.68
openai-gpt-5.4,1,6,0.0,0.0,87.0,32.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,144.0
openai-gpt-5.4,1,7,340.91,0.0,65.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,501.91
openai-gpt-5.4,1,8,0.0,0.0,79.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,143.0
openai-gpt-5.4,1,9,88.24,0.0,51.0,109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,252.24
openai-gpt-5.4,1,10,0.0,0.0,22.0,109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,135.0
openai-gpt-5.4,1,11,0.0,0.0,52.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,105.0
openai-gpt-5.4,1,12,250.2,0.0,74.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,388.2
