model,seed,week,true,mini,haiku
deepseek-deepseek-v4-pro,108,3,,,
deepseek-deepseek-v4-pro,95,5,freight,demand;port,demand;freight;port
anthropic-claude-sonnet-5,154,10,,freight;quality,quality
openai-gpt-5.4,86,3,,freight,disruption
anthropic-claude-sonnet-5,112,17,,port,
anthropic-claude-sonnet-5,170,22,,demand,demand;supplier
deepseek-deepseek-v4-pro,1,9,demand,demand;freight;supplier,demand;freight;supplier
anthropic-claude-sonnet-5,94,23,freight;supplier,freight,demand;freight
anthropic-claude-sonnet-5,60,3,,quality,quality;supplier
deepseek-deepseek-v4-pro,1,15,,demand;freight,demand
openai-gpt-5.4,172,19,,freight,
deepseek-deepseek-v4-pro,95,10,demand;port,demand;port,demand;freight;port
openai-gpt-5.4,25,13,,,freight
openai-gpt-5.4,154,2,demand,freight,demand;freight
openai-gpt-5.4,157,10,,demand,
openai-gpt-5.4,29,4,,supplier,supplier
anthropic-claude-sonnet-5,60,9,,demand;disruption;freight,demand;disruption;port
openai-gpt-5.4,95,3,freight,freight,freight
openai-gpt-5.4,1,3,,,
anthropic-claude-sonnet-5,154,9,,freight;quality,freight;quality
deepseek-deepseek-v4-pro,112,14,demand,demand;freight,demand;freight
openai-gpt-5.4,172,5,port,port,demand;port
openai-gpt-5.4,94,6,demand;port,demand;port,demand;port
openai-gpt-5.4,85,6,disruption,disruption;port,disruption;freight
anthropic-claude-sonnet-5,157,19,,freight,
deepseek-deepseek-v4-pro,94,16,demand;quality;supplier,disruption;freight;quality;supplier,demand;disruption;freight;quality;supplier
deepseek-deepseek-v4-pro,95,20,,supplier,
openai-gpt-5.4,143,23,,disruption,disruption
anthropic-claude-sonnet-5,157,11,,demand;disruption,demand;disruption
anthropic-claude-sonnet-5,99,12,demand,,
deepseek-deepseek-v4-pro,157,21,,,
openai-gpt-5.4,112,3,,demand;port,
openai-gpt-5.4,58,12,demand;port,port;supplier,demand;port
deepseek-deepseek-v4-pro,60,19,,freight;supplier,disruption;freight;supplier
anthropic-claude-sonnet-5,58,20,,,
openai-gpt-5.4,170,18,demand,demand;disruption,demand;disruption;freight
openai-gpt-5.4,25,8,,,
openai-gpt-5.4,143,13,port,demand;port,demand;freight;port
anthropic-claude-sonnet-5,60,5,quality,quality,demand;quality
deepseek-deepseek-v4-pro,170,11,port,disruption;freight;port,port
deepseek-deepseek-v4-pro,44,23,disruption;freight,disruption;freight,disruption
deepseek-deepseek-v4-pro,99,25,demand;disruption,demand;disruption,demand;disruption
anthropic-claude-sonnet-5,25,13,,,
deepseek-deepseek-v4-pro,24,2,,demand;freight;port,demand;freight;port
openai-gpt-5.4,44,18,disruption;port,demand;disruption;freight;port,demand;disruption;port
anthropic-claude-sonnet-5,1,16,,freight;port,demand;freight;port
deepseek-deepseek-v4-pro,112,21,demand,quality,quality
anthropic-claude-sonnet-5,154,18,demand,demand,demand
deepseek-deepseek-v4-pro,86,18,,demand;freight;quality;supplier,demand;freight;quality;supplier
openai-gpt-5.4,25,20,supplier,demand;supplier,
anthropic-claude-sonnet-5,58,16,,,
deepseek-deepseek-v4-pro,157,22,,,
openai-gpt-5.4,24,13,,demand;port;quality,demand;freight;port;quality
anthropic-claude-sonnet-5,154,6,port,port;supplier,demand;freight;port
openai-gpt-5.4,86,16,,demand;freight;port,freight;port
deepseek-deepseek-v4-pro,157,23,quality,,
anthropic-claude-sonnet-5,29,6,supplier,demand;quality;supplier,quality;supplier
deepseek-deepseek-v4-pro,86,8,,supplier,supplier
anthropic-claude-sonnet-5,94,15,demand,demand;freight;supplier,demand;freight;supplier
anthropic-claude-sonnet-5,157,18,,demand;quality,quality
openai-gpt-5.4,170,15,demand,demand,demand
anthropic-claude-sonnet-5,108,5,demand,demand,demand
deepseek-deepseek-v4-pro,154,5,,port,freight;port
openai-gpt-5.4,85,20,demand,demand,demand
anthropic-claude-sonnet-5,112,14,demand,demand,demand
openai-gpt-5.4,21,6,,demand;quality,quality
anthropic-claude-sonnet-5,112,11,,freight;port,demand;port
anthropic-claude-sonnet-5,25,1,,demand;freight;port,demand;freight;port
anthropic-claude-sonnet-5,85,25,demand;port,port,demand;port
anthropic-claude-sonnet-5,21,23,disruption;quality;supplier,disruption;freight;quality,disruption;freight;port;quality
anthropic-claude-sonnet-5,112,1,,demand;freight,demand
deepseek-deepseek-v4-pro,170,21,,,
openai-gpt-5.4,154,1,demand,demand;supplier,
deepseek-deepseek-v4-pro,112,9,,demand,demand;freight
anthropic-claude-sonnet-5,58,17,port,port,port
