scope,quantity,n,mean,ci_lo,ci_hi,p,p_holm
gpt-5.4/DIAG/model,procurement $/wk,502,61.208,48.662,74.61,,
gpt-5.4/DIAG/oracle,procurement $/wk,502,65.326,56.646,74.541,,
gpt-5.4/DIAG/model,holding_total $/wk,502,98.282,92.751,103.729,,
gpt-5.4/DIAG/oracle,holding_total $/wk,502,95.051,91.884,97.98,,
gpt-5.4/DIAG/model,stockout_total $/wk,502,19.607,10.754,30.756,,
gpt-5.4/DIAG/oracle,stockout_total $/wk,502,36.727,25.053,50.362,,
gpt-5.4/DIAG/model,levers $/wk,502,91.041,75.808,106.564,,
gpt-5.4/DIAG/oracle,levers $/wk,502,58.29,42.586,74.904,,
gpt-5.4/DIAG/model,incident $/wk,502,30.356,21.185,40.282,,
gpt-5.4/DIAG/oracle,incident $/wk,502,33.822,24.35,44.056,,
gpt-5.4/DIAG/model,total $/wk,502,300.493,272.823,328.448,,
gpt-5.4/DIAG/oracle,total $/wk,502,289.215,261.35,317.108,,
gpt-5.4/UNDIAG/model,procurement $/wk,137,65.671,43.418,90.273,,
gpt-5.4/UNDIAG/oracle,procurement $/wk,137,64.895,50.053,81.458,,
gpt-5.4/UNDIAG/model,holding_total $/wk,137,106.703,98.523,115.146,,
gpt-5.4/UNDIAG/oracle,holding_total $/wk,137,95.807,91.174,100.44,,
gpt-5.4/UNDIAG/model,stockout_total $/wk,137,5.345,0.429,12.912,,
gpt-5.4/UNDIAG/oracle,stockout_total $/wk,137,22.787,11.015,37.214,,
gpt-5.4/UNDIAG/model,levers $/wk,137,57.62,32.026,86.079,,
gpt-5.4/UNDIAG/oracle,levers $/wk,137,18.524,6.573,36.319,,
gpt-5.4/UNDIAG/model,incident $/wk,137,2.262,0.526,4.487,,
gpt-5.4/UNDIAG/oracle,incident $/wk,137,5.22,1.848,10.641,,
gpt-5.4/UNDIAG/model,total $/wk,137,237.602,204.336,272.314,,
gpt-5.4/UNDIAG/oracle,total $/wk,137,207.232,183.844,233.53,,
gpt-5.4/CALM/model,procurement $/wk,623,54.595,48.885,60.521,,
gpt-5.4/CALM/oracle,procurement $/wk,623,64.656,57.468,73.339,,
gpt-5.4/CALM/model,holding_total $/wk,623,110.764,104.864,116.91,,
gpt-5.4/CALM/oracle,holding_total $/wk,623,98.788,97.305,100.219,,
gpt-5.4/CALM/model,stockout_total $/wk,623,10.389,3.6,19.207,,
gpt-5.4/CALM/oracle,stockout_total $/wk,623,12.924,7.199,19.671,,
gpt-5.4/CALM/model,levers $/wk,623,27.9,20.395,36.048,,
gpt-5.4/CALM/oracle,levers $/wk,623,7.061,4.681,9.957,,
gpt-5.4/CALM/model,incident $/wk,623,0.572,0.269,0.917,,
gpt-5.4/CALM/oracle,incident $/wk,623,0.519,0.261,0.814,,
gpt-5.4/CALM/model,total $/wk,623,204.22,193.629,215.532,,
gpt-5.4/CALM/oracle,total $/wk,623,183.948,174.375,194.148,,
claude-sonnet-5/DIAG/model,procurement $/wk,515,69.893,61.202,79.202,,
claude-sonnet-5/DIAG/oracle,procurement $/wk,515,64.919,57.007,73.1,,
claude-sonnet-5/DIAG/model,holding_total $/wk,515,84.602,81.154,87.977,,
claude-sonnet-5/DIAG/oracle,holding_total $/wk,515,94.806,91.742,97.619,,
claude-sonnet-5/DIAG/model,stockout_total $/wk,515,31.991,22.999,42.242,,
claude-sonnet-5/DIAG/oracle,stockout_total $/wk,515,33.525,23.269,45.441,,
claude-sonnet-5/DIAG/model,levers $/wk,515,125.576,109.69,142.272,,
claude-sonnet-5/DIAG/oracle,levers $/wk,515,54.888,40.3,70.123,,
claude-sonnet-5/DIAG/model,incident $/wk,515,29.364,21.198,38.022,,
claude-sonnet-5/DIAG/oracle,incident $/wk,515,31.538,22.897,40.962,,
claude-sonnet-5/DIAG/model,total $/wk,515,341.426,317.754,365.31,,
claude-sonnet-5/DIAG/oracle,total $/wk,515,279.676,254.097,305.141,,
claude-sonnet-5/UNDIAG/model,procurement $/wk,124,69.498,53.518,86.434,,
claude-sonnet-5/UNDIAG/oracle,procurement $/wk,124,68.543,51.798,88.755,,
