seed,mean,se,n,min,max
157,3880.0,16.4,20,3679.8,3931.7
25,4825.8,42.7,20,4576.1,5569.5
112,4158.6,12.9,20,4009.1,4239.9
1,6932.2,101.9,20,6169.0,7837.7
143,7670.7,120.6,20,6575.0,8604.2
172,6041.0,91.5,20,5701.0,7168.3
21,3956.0,47.8,20,3718.7,4308.2
170,8660.2,109.7,20,8227.6,10025.3
99,8354.4,75.7,20,7962.4,9612.7
60,5093.5,33.1,20,4813.4,5461.9
24,3950.5,11.4,20,3821.4,4002.3
86,4364.9,13.5,20,4220.6,4434.3
95,7632.5,41.6,20,7433.7,8159.2
29,6686.1,64.6,20,6299.5,7314.7
58,7776.9,60.2,20,7385.4,8741.9
108,9031.5,90.8,20,8284.0,9844.3
44,7521.5,101.2,20,7044.9,8802.6
94,6170.6,50.6,20,5503.0,6508.6
154,5574.7,25.4,20,5494.2,5903.8
85,5996.5,12.4,20,5866.7,6139.9
160,4552.1,34.6,20,4299.5,4783.9
91,4609.0,35.4,20,4460.3,4961.4
178,4678.9,39.2,20,4516.6,5070.5
11,6806.1,62.4,20,6384.8,7274.0
189,4456.3,12.7,20,4370.4,4607.7
36,4891.8,19.1,20,4697.9,4998.0
198,7268.3,80.9,20,6954.2,8594.9
135,5366.0,21.9,20,5072.9,5494.8
194,7282.9,28.0,20,7025.4,7509.1
119,8005.0,44.3,20,7768.1,8678.8
169,5912.5,51.2,20,5600.2,6298.3
145,6177.8,50.5,20,5822.2,6632.0
53,7294.7,17.7,20,7133.4,7401.4
74,6206.4,18.3,20,5993.0,6450.2
72,6356.7,45.1,20,6003.7,6807.5
82,6221.8,49.1,20,6025.1,6703.2
90,5393.4,24.8,20,5208.6,5555.2
9,5678.0,71.2,20,5144.5,6307.1
148,7042.7,125.4,20,6114.4,7710.0
168,8971.1,53.7,20,8673.6,9523.2
163,8240.6,100.4,20,7696.7,9474.7
0,5571.2,20.9,20,5434.1,5760.8
14,4543.8,25.1,20,4338.7,4769.1
187,5468.7,29.9,20,5089.1,5598.6
100,5702.8,57.1,20,5350.8,6059.2
33,7504.4,88.1,20,6755.5,8946.2
12,4554.8,39.1,20,4355.5,5231.6
75,4855.9,15.5,20,4700.5,4929.3
164,4671.4,34.1,20,4083.0,4768.8
39,8060.8,17.9,20,7999.5,8340.5
