seed,mean,se,n,min,max
0,5530.7,25.3,20,5189.9,5636.5
1,6959.3,57.6,20,6606.3,7528.9
9,5845.3,60.9,20,5561.5,6569.8
11,6806.6,69.2,20,6340.9,7405.2
12,6689.6,346.2,20,4400.2,9212.9
14,4585.1,26.7,20,4381.4,4901.2
21,4108.8,71.8,20,3749.2,4679.5
24,3981.0,7.4,20,3858.8,4025.1
25,4807.5,17.2,20,4625.8,4910.0
29,6847.5,82.2,20,6131.5,7310.0
33,7137.0,28.6,20,6808.1,7248.0
36,4816.3,16.3,20,4628.6,4913.9
39,8166.4,81.9,20,7960.2,9647.1
44,8445.4,78.3,20,7235.7,8914.2
53,7166.7,30.2,20,6809.5,7406.4
58,7913.6,143.6,20,7495.5,9801.7
60,5191.2,38.0,20,4771.6,5436.4
72,6611.1,56.9,20,6166.8,6891.9
74,6234.9,19.6,20,6062.1,6477.4
75,4816.6,11.7,20,4729.7,4917.6
82,6155.6,47.1,20,5758.3,6521.7
85,6030.3,15.5,20,5939.4,6158.6
86,4308.6,12.7,20,4143.2,4411.0
90,5356.4,31.6,20,5129.3,5623.8
91,4457.0,17.4,20,4272.4,4580.4
94,6455.1,48.2,20,6055.5,6729.2
95,7604.2,38.1,20,6961.1,7827.5
99,9145.8,168.0,20,7585.4,10058.5
100,5804.3,55.1,20,5496.5,6428.6
108,9363.0,79.5,20,8700.0,10082.9
112,4077.5,43.0,20,3744.9,4304.8
119,8293.0,53.8,20,7681.6,8818.4
135,5399.2,14.7,20,5215.6,5492.2
143,7113.3,117.8,20,6349.6,8352.9
145,6084.5,56.7,20,5790.6,6557.0
148,7017.2,124.6,20,6315.6,7843.1
154,5563.4,27.9,20,5256.1,5874.2
157,3929.6,17.3,20,3796.9,4105.4
160,4606.3,24.1,20,4398.3,4718.2
163,8216.1,134.4,20,7282.4,9445.8
164,4376.6,55.3,20,4081.3,4708.4
168,8900.2,35.8,20,8660.2,9237.9
169,6038.8,46.8,20,5649.8,6222.7
170,8298.1,50.9,20,7941.6,8604.7
172,5964.7,84.1,20,5622.5,7013.5
178,4796.2,25.4,20,4524.1,5005.8
187,5257.8,26.0,20,5035.4,5582.4
189,4412.4,15.0,20,4274.2,4566.4
194,7282.8,24.6,20,6959.4,7447.0
198,7201.4,41.9,20,6827.2,7649.2
