model,seed,group,weeks,order_weeks,mean_order_size,max_order,last_order_week,air_calls,air_qty,locks,inspects,briefings,audits,contracts,corr_qty_freight
anthropic-claude-sonnet-5,0,COMPOUND,26,26,23.0,35,26,5,95,3,0,1,3,2,-0.299
anthropic-claude-sonnet-5,1,PERSISTENT,26,17,21.5,35,22,11,220,2,0,0,2,1,-0.212
anthropic-claude-sonnet-5,100,COMPOUND,26,21,22.1,35,23,5,100,1,2,1,1,4,-0.282
anthropic-claude-sonnet-5,108,PERSISTENT,26,15,25.7,40,23,8,160,2,2,1,2,6,0.244
anthropic-claude-sonnet-5,11,ISOLATED,26,12,23.8,35,23,11,215,1,2,1,0,5,-0.363
anthropic-claude-sonnet-5,112,ISOLATED,26,22,21.3,30,23,4,80,4,0,1,1,0,-0.695
anthropic-claude-sonnet-5,119,PERSISTENT,26,21,17.6,30,23,9,180,3,0,0,0,1,0.158
anthropic-claude-sonnet-5,12,COMPOUND,26,22,20.6,30,23,4,70,3,0,1,1,1,-0.294
anthropic-claude-sonnet-5,135,PERSISTENT,26,16,27.8,40,24,7,140,2,0,3,3,2,-0.218
anthropic-claude-sonnet-5,14,COMPOUND,26,17,25.9,45,23,5,100,3,0,1,2,2,-0.468
anthropic-claude-sonnet-5,143,COMPOUND,26,15,20.3,25,22,8,160,1,3,1,2,1,-0.342
anthropic-claude-sonnet-5,145,PERSISTENT,26,17,24.4,45,22,8,160,2,10,1,3,2,0.101
anthropic-claude-sonnet-5,148,COMPOUND,26,13,19.8,22,15,9,180,2,2,1,1,3,-0.311
anthropic-claude-sonnet-5,154,COMPOUND,26,18,21.8,35,21,6,120,2,0,2,1,1,-0.482
anthropic-claude-sonnet-5,157,ISOLATED,26,21,21.5,30,23,3,60,3,2,0,1,1,-0.434
anthropic-claude-sonnet-5,160,ISOLATED,26,23,21.0,30,24,3,50,2,0,0,2,2,0.079
anthropic-claude-sonnet-5,163,COMPOUND,26,19,22.3,30,23,7,140,5,3,1,3,3,-0.545
